19-12 10:59:37.579|INFO |GameDatabase:Adding new game ec16febb-a04e-44d0-8134-27c894f0f985 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 6350f1e0-29e9-4186-af20-d9c6d95e6032 from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game cfe75f9c-4583-4efd-842a-a927958ae86e from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 704bc6ca-518d-4284-8604-9bd8fa94599e from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 09c9b422-1e05-4da7-8307-42dcb2a9877e from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 756758e1-80ec-4564-a100-b9417d1aed0a from Amazon Games plugin
19-12 10:59:37.579|INFO |GameDatabase:Adding new game 9ebdf97d-7f3e-4235-9412-4ea3c8d133f5 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game cd488e76-7247-4087-b418-06faaac5e958 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game c7827e1e-8182-4d9e-bfe1-c625e7b2603b from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game a3f5ee11-7f45-4cf2-9dd9-642fb2597124 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 477ebfe3-f3a0-470b-9112-e8b9cfbf2510 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game e7c6de90-7b14-4bbf-b722-162f40d77acd from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game c9d1ea59-a0d8-4244-9289-69ab221e4db5 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 2ad346bf-d6b0-4f34-b462-7e1389727805 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 16fad9ee-75fc-4342-9eb2-e6f526fdddc9 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 90dd5458-e86e-4324-b129-541d4649587b from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game e10a6883-3afc-4e14-ba19-6fd0e208677e from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 25071895-d6cb-49ce-98fe-4a2c3c92b9fc from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 372f336e-2387-40db-8ff1-4d2fd218aeb6 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game be2368f5-06d1-4f64-b9f2-e2f896e14bf2 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 3ef92bf8-14d8-42db-bdf6-dd376eab0617 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 1caba129-321f-4cd6-b69f-9947cc673d7f from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game d1994ba2-45b0-476d-8c88-d655cef4e4f0 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 70ec0894-2707-4822-8f6d-b133eff339dd from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 7f279a69-296c-4ab4-b82f-e4c0129c1b70 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 8bfd8b43-faa3-49f7-aa87-42598dad2dda from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 09fbe8c7-5f5b-4c23-88b7-09aeb2936c7a from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 22c10eeb-6b68-4b49-a025-e36af43f0bbf from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 285ee9a5-0bc8-4a6f-8415-aed4cf830e76 from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 340e2d64-ef20-48dc-842d-f85ad1e06d2a from Amazon Games plugin
19-12 10:59:37.594|INFO |GameDatabase:Adding new game 70f425e7-77e2-4b8c-8d3d-2a25be540fcb from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 2d05b80a-41fe-4da5-9e4d-db7ecfc7dae7 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 81394511-4f48-4c64-9833-8e12ef1bb088 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 551a2cd1-9688-41fa-9a07-6af2df90b6e5 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game ee44bb82-a70f-4f6d-a502-737f1bfef431 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game cb1ee645-30be-4887-a612-a081687eec47 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 4f603926-ada0-4d8a-9551-0f8185b78710 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 3d938a83-ec98-4cfb-a11f-a0fbfee934ef from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game fc2c93ae-1d67-4c2e-b782-37d5f8ecd598 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 73df62c7-f228-4f42-9151-9ce56e13f4bb from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 8c5a6e9c-c20b-4942-9013-26b4926ce37a from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 27cdbe8e-58ff-4d0b-be92-a971d882643c from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 8f45e476-67d8-4743-9d3c-9004251d70ba from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 6ea8a67f-b21c-425b-9d1b-ce207e30ae2f from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game e75792f0-a9ab-4b40-b1e7-7e10d30b5645 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game cdb1066a-11db-42db-a050-3358cd248ae7 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 335c61ef-7760-4bf1-89c8-c5f7552d086f from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game 12b2a663-73da-46cd-938a-5e4fdcac7d38 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game amzn1.adg.product.cc25ccb6-449e-4d2c-a435-af2a6e6297c4 from Amazon Games plugin
19-12 10:59:37.610|INFO |GameDatabase:Adding new game amzn1.adg.product.ac751ce2-b672-4d69-879f-96c45f290369 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.93ff4a57-6134-407d-8b18-7c9152ac6de3 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.2ff3bc13-075b-42a0-bd4b-5d434848fb30 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.715c7943-57b4-4fa1-9315-ad9631321d98 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.68d0df20-e8ff-495c-903b-ae4a897471e8 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.20b87aa4-24b1-444b-80d0-8a5cbc277c56 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.0d364464-032c-40c9-a6da-c633a53e3374 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.1ca2ce77-12c9-418c-9171-fea597bdfe54 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.8fffd0cc-8e7f-4d88-8267-4ab6c49d4239 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.24a8c798-49fa-4cc0-9505-112d8be51faa from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.1f9ca5dd-6835-40ee-8ab8-946ebd636caa from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.9309e573-f790-4f1a-a285-d821cb7cf583 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.23434d56-fe28-4ba1-ba71-e04c90abbb96 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.e75a0723-ff30-4fb7-bc0c-edc573d99cd1 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.deb00d63-00c9-4d80-ae82-2675d328ff07 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.a939e821-78f1-48fb-8392-1e72473a58bc from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.5efc992e-6086-4367-b521-c77f877eb396 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.5dacffa6-c9ff-4c8e-abae-e51e1bbafc80 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.13a55926-e6b6-497d-b3af-9d932744d408 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.a0b96333-d610-40d7-9658-2e754c1615ec from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.84602867-465b-4365-9ea9-c108c168b733 from Amazon Games plugin
19-12 10:59:37.625|INFO |GameDatabase:Adding new game amzn1.adg.product.71a2ec7f-719c-4278-92ea-9b74a99be7a6 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.6dbcae9a-112b-465e-8d56-de7353603436 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.9c1b385e-9a72-48bc-9700-c5d72b678972 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.d14f6257-7fa1-4887-a09a-666a6f051a6f from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.d81c669c-346c-4490-8abf-d1cffa7bc876 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.6f7b2156-b0d8-460a-b25e-617077be4961 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.fb6747d7-7f88-49d8-bad4-3fc662531048 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.5a2dea57-7759-4312-8cd4-986ac1c46a45 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.6ed13be7-1d52-42b0-af03-9f487492ae93 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.9e5ecae6-9b15-4d6c-b28c-afedc5fd081a from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.23dae898-e846-4aad-befb-b3247b81ae4e from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.68184ab0-16ae-474e-8b3b-02daf82fc6d4 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.e8e78531-da5e-4651-a75e-357717f42152 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.86459162-b782-45ad-9900-8073256a94b0 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.33c7e483-297f-48ef-95ba-411ff59ca701 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.f2ba7372-4612-4b8c-ba91-c3d5c833d211 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.d5f8ee2a-ecae-46dc-b620-52e54778c46f from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.a10b8ae4-785f-4aa9-bf60-844d9d0b5a25 from Amazon Games plugin
19-12 10:59:37.641|INFO |GameDatabase:Adding new game amzn1.adg.product.43251731-1ef4-4c83-8318-c16f7cf5fe8e from Amazon Games plugin
