08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\unins000.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part I\unins000.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - E:\Games\The Last of Us - Part I\unins000.exe is not a preferred filename.
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part I\unins000.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part I) - Checking file: E:\Games\The Last of Us - Part I\WinPixEventRuntime.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered)
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Found 40 files in directory
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\amd_ags_x64.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\amd_fidelityfx_dx12.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\bink2w64.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\CChromaEditorLibrary.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\CChromaEditorLibrary64.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\crs-client.dll
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\crs-handler.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part II Remastered\crs-handler.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - E:\Games\The Last of Us - Part II Remastered\crs-handler.exe is not a preferred filename.
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part II Remastered\crs-handler.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\crs-prompt-logo.png
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\crs-uploader.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part II Remastered\crs-uploader.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - E:\Games\The Last of Us - Part II Remastered\crs-uploader.exe is not a preferred filename.
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part II Remastered\crs-uploader.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Checking file: E:\Games\The Last of Us - Part II Remastered\crs-video.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Found preferred extension: .exe for file: E:\Games\The Last of Us - Part II Remastered\crs-video.exe
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - E:\Games\The Last of Us - Part II Remastered\crs-video.exe is not a preferred filename.
08-01 17:02:02.781|INFO |LocalLibrary#Finder:GetMainInstaller(E:\Games\The Last of Us - Part II Remastered) - Found valid extension: .exe for file: E:\Games\The Last of Us - Part II Remastered\crs-video.exe
